Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_Pasien_Dalam_Perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawat,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_,Kasus_Sedang_Investigasi_Lapang,Jumlah_Spesimen_Diperiksa_Terki,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Suspek_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
155,2020/08/03 00:00:00+00,113134,70237,5302,37595,1679,1262,66,351,62.0830166,4.686477982,33.23050542,1552141,894531,781395,14728,12179,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,102
156,2020/08/04 00:00:00+00,115056,72050,5388,37618,1922,1813,86,23,62.62167988,4.682937005,32.69538312,1575043,907987,793110,22902,13456,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,103
157,2020/08/05 00:00:00+00,116871,73889,5452,37530,1815,1839,64,-88,63.22269853,4.664972491,32.11232898,1603781,922709,806017,28738,14722,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,104
158,2020/08/06 00:00:00+00,118753,75645,5521,37587,1882,1756,69,57,63.69944338,4.649145706,31.65141091,1633156,936132,817558,29375,13423,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,105
159,2020/08/07 00:00:00+00,121226,77557,5593,38076,2473,1912,72,489,63.97719961,4.613696732,31.40910366,1663315,951910,830684,30159,15599,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,106
160,2020/08/08 00:00:00+00,123503,79306,5658,38539,2277,1749,65,463,64.21382477,4.581265232,31.20491,1693880,963602,840099,30565,11692,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,107
161,2020/08/09 00:00:00+00,125396,80952,5723,38721,1893,1646,65,182,64.55708316,4.563941434,30.87897541,1715798,972594,847198,21918,8992,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,108
162,2020/08/10 00:00:00+00,127083,82236,5765,39082,1687,1284,42,361,64.71046481,4.536405341,30.75312984,1731634,984893,857810,15836,12299,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,109
163,2020/08/11 00:00:00+00,128776,83710,5824,39242,1693,1474,59,160,65.00434864,4.522581848,30.47306952,1757425,998406,869630,25791,13513,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,110
164,2020/08/12 00:00:00+00,130718,85798,5903,39017,1942,2088,79,-225,65.63594914,4.515827966,29.84822289,1783673,1012104,881386,26248,13698,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,111
165,2020/08/13 00:00:00+00,132816,87558,5968,39290,2098,1760,65,273,65.92428623,4.493434526,29.58227924,1809487,1026954,894138,25814,14850,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,112
166,2020/08/14 00:00:00+00,135123,89618,6021,39484,2307,2060,53,194,66.32327583,4.455940143,29.22078403,1835505,1039682,904559,26018,12728,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,113
167,2020/08/15 00:00:00+00,137468,91321,6071,40076,2345,1703,50,592,66.43073297,4.416300521,29.15296651,1862801,1052503,915035,27296,12821,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,114
168,2020/08/16 00:00:00+00,139549,93103,6150,40296,2081,1782,79,220,66.71706712,4.407054153,28.87587872,1888215,1061721,922172,25414,9218,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,115
169,2020/08/17 00:00:00+00,141370,94458,6207,40705,1821,1355,57,409,66.81615619,4.390606211,28.7932376,1900668,1068945,927575,12453,7224,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,116
170,2020/08/18 00:00:00+00,143043,96306,6277,40460,1673,1848,70,-245,67.32660808,4.388190964,28.28520095,1915039,1081354,938311,14371,12409,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,117
171,2020/08/19 00:00:00+00,144945,98657,6346,39942,1902,2351,69,-518,68.06512815,4.378212425,27.55665942,1941117,1096294,951349,26078,14940,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,118
172,2020/08/20 00:00:00+00,147211,100674,6418,40119,2266,2017,72,177,68.38755256,4.359728553,27.25271889,1969941,1108068,960857,28824,11774,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,119
173,2020/08/21 00:00:00+00,149408,102991,6500,39917,2197,2317,82,-202,68.93272114,4.35050332,26.71677554,1989870,1121602,972194,19929,13534,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,120
174,2020/08/22 00:00:00+00,151498,105198,6594,39706,2090,2207,94,-211,69.43854044,4.352532707,26.20892685,2014619,1139768,988270,24749,18166,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,121
175,2020/08/23 00:00:00+00,153535,107500,6680,39355,2037,2302,86,-351,70.01660859,4.350799492,25.63259192,2036771,1157184,1003649,22152,17416,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,122
176,2020/08/24 00:00:00+00,155412,111060,6759,37593,1877,3560,79,-1762,71.46166319,4.349085013,24.1892518,2056166,1173369,1017957,19395,16185,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,123
177,2020/08/25 00:00:00+00,157859,112867,6858,38134,2447,1807,99,541,71.49861585,4.344383279,24.15700087,2077441,1191948,1034089,21275,18579,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,124
178,2020/08/26 00:00:00+00,160165,115409,6944,37812,2306,2542,86,-322,72.05631692,4.335528986,23.60815409,2106753,1212468,1052303,29312,20520,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,125
179,2020/08/27 00:00:00+00,162884,118575,7064,37245,2719,3166,120,-567,72.79720537,4.336828663,22.86596596,2136416,1233486,1070602,29663,21018,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,126
180,2020/08/28 00:00:00+00,165887,120900,7169,37818,3003,2325,105,573,72.88093702,4.321616522,22.79744645,2169498,1250135,1084248,33082,16649,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,127
181,2020/08/29 00:00:00+00,169195,122802,7261,39132,3308,1902,92,1314,72.58015899,4.291497976,23.12834304,2198403,1271301,1102106,28905,21166,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,128
182,2020/08/30 00:00:00+00,172053,124185,7343,40525,2858,1383,82,1393,72.1783404,4.267870947,23.55378866,2224337,1282618,1110565,25934,11317,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,129
183,2020/08/31 00:00:00+00,174796,125959,7417,41420,2743,1774,74,895,72.06057347,4.243232111,23.69619442,2239642,1297184,1122388,15305,14566,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,130
184,2020/09/01 00:00:00+00,177571,128057,7505,42009,2775,2098,88,589,72.11594236,4.226478423,23.65757922,2270267,1312477,1134906,30625,15293,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,131
185,2020/09/02 00:00:00+00,180646,129971,7616,43059,3075,1914,111,1050,71.9478981,4.215980426,23.83612148,2301268,1333985,1153339,31001,21508,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,132
186,2020/09/03 00:00:00+00,184268,132055,7750,44463,3622,2084,134,1404,71.66464063,4.205830638,24.12952873,2338865,1353291,1169023,37597,19306,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,133
187,2020/09/04 00:00:00+00,187537,134181,7832,45524,3269,2126,82,1061,71.54908098,4.176242555,24.27467646,2375133,1371391,1183854,36268,18100,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,134
188,2020/09/05 00:00:00+00,190665,136401,7940,46324,3128,2220,108,800,71.53961136,4.164372066,24.29601657,2405773,1388288,1197623,30640,16897,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,135
189,2020/09/06 00:00:00+00,194109,138575,8025,47509,3444,2174,85,1185,71.39030133,4.134275072,24.4754236,2433752,1401513,1207404,27979,13225,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,136
190,2020/09/07 00:00:00+00,196989,140652,8130,48207,2880,2077,105,698,71.40094117,4.127134002,24.47192483,2452164,1417694,1220705,18412,16181,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,137
191,2020/09/08 00:00:00+00,200035,142958,8230,48847,3046,2306,100,640,71.46649336,4.114280001,24.41922664,2484807,1434294,1234259,32643,16600,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,138
192,2020/09/09 00:00:00+00,203342,145200,8336,49806,3307,2242,106,959,71.4067925,4.099497398,24.4937101,2514670,1449629,1246287,29863,15335,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,139
193,2020/09/10 00:00:00+00,207203,147510,8456,51237,3861,2310,120,1431,71.19105418,4.081021993,24.72792382,2549579,1469943,1262740,34909,20314,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,140
194,2020/09/11 00:00:00+00,210940,150217,8544,52179,3737,2707,88,942,71.21314118,4.050440884,24.73641794,2581433,1498292,1287352,31813,28349,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,141
195,2020/09/12 00:00:00+00,214746,152458,8650,53638,3806,2241,106,1459,70.99457033,4.028014492,24.97741518,2620004,1523214,1308468,38571,24922,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,142
196,2020/09/13 00:00:00+00,218382,155010,8723,54649,3636,2552,73,1011,70.98112482,3.994376826,25.02449836,2650104,1549352,1330970,30100,26138,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,143
197,2020/09/14 00:00:00+00,221523,158405,8841,54277,3141,3395,118,-372,71.50724755,3.991007706,24.50174474,2672710,1569545,1348022,22606,20193,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,144
198,2020/09/15 00:00:00+00,225030,161065,8965,55000,3507,2660,124,723,71.57490112,3.983913256,24.44118562,2715346,1592056,1367026,42636,22511,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,145
199,2020/09/16 00:00:00+00,228993,164101,9100,55792,3963,3036,135,792,71.66201587,3.9739206,24.36406353,2755120,1622769,1393776,39774,30713,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,146
200,2020/09/17 00:00:00+00,232628,166686,9222,56720,3635,2585,122,928,71.6534553,3.964269134,24.38227556,2796924,1652324,1419696,41804,29555,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,147
201,2020/09/18 00:00:00+00,236519,170774,9336,56409,3891,4088,114,-311,72.20307882,3.947251595,23.84966958,2841352,1676648,1440129,44428,24324,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,148
202,2020/09/19 00:00:00+00,240687,174350,9448,56889,4168,3576,112,480,72.43847819,3.925430123,23.63609169,2885508,1698202,1457515,44156,21554,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,149
203,2020/09/20 00:00:00+00,244676,177327,9553,57796,3989,2977,105,907,72.47421079,3.904346973,23.62144223,2922648,1718175,1473499,36753,19973,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,150
204,2020/09/21 00:00:00+00,248852,180797,9677,58378,4176,3470,124,582,72.65241991,3.888656712,23.45892338,2950173,1743000,1494148,27525,24825,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,151
205,2020/09/22 00:00:00+00,252923,184298,9837,58788,4071,3501,160,410,72.86723627,3.889326,23.24343773,2994069,1774065,1521142,43896,31065,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,152
206,2020/09/23 00:00:00+00,257388,187958,9977,59453,4465,3660,140,665,73.02516046,3.876249087,23.09859045,3032250,1799563,1542175,38181,25498,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,153
207,2020/09/24 00:00:00+00,262022,191853,10105,60064,4634,3895,128,611,73.22018762,3.856546397,22.92326599,3074814,1834349,1572327,42564,34786,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,154
208,2020/09/25 00:00:00+00,266845,196196,10218,60431,4823,4343,113,367,73.5243306,3.82918923,22.64648017,3120947,1860768,1593923,46133,26419,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,155
209,2020/09/26 00:00:00+00,271339,199403,10308,61628,4494,3207,90,1197,73.48851437,3.79893786,22.71254777,3169783,1886426,1615087,48836,25658,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,156
54,2020/04/24 00:00:00+00,8211,1002,689,6520,436,42,42,352,12.20314213,8.39118256,79.40567531,64054,50563,42352,4119,1916,18301,197951,,,,,,,,,,,,,1970/01/01 00:00:00+00,157
210,2020/09/27 00:00:00+00,275213,203014,10386,61813,3874,3611,78,185,73.7661375,3.77380429,22.46005821,3207055,1907226,1632013,37272,20800,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,158
211,2020/09/28 00:00:00+00,278722,206870,10473,61379,3509,3856,87,-434,74.22090829,3.757507481,22.02158423,3239244,1934863,1656141,32189,27637,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,159
212,2020/09/29 00:00:00+00,282724,210437,10601,61686,4002,3567,128,307,74.43195484,3.749593243,21.81845192,3276402,1962754,1680030,37158,27891,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,160
319,2021/01/14 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,161
320,2021/01/15 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,162
321,2021/01/16 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,163
322,2021/01/17 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,164
323,2021/01/18 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,165
324,2021/01/19 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,166
325,2021/01/20 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,167
326,2021/01/21 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,168
327,2021/01/22 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,169
328,2021/01/23 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,170
329,2021/01/24 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,171
330,2021/01/25 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,172
331,2021/01/26 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,173
332,2021/01/27 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,174
333,2021/01/28 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,175
334,2021/01/29 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,176
335,2021/01/30 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,177
336,2021/01/31 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,178
337,2021/02/01 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,179
338,2021/02/02 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,180
339,2021/02/03 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,181
340,2021/02/04 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,182
341,2021/02/05 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,183
342,2021/02/06 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,184
343,2021/02/07 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,185
344,2021/02/08 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,186
345,2021/02/09 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,187
346,2021/02/10 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,188
347,2021/02/11 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,189
348,2021/02/12 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,190
349,2021/02/13 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,191
350,2021/02/14 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,192
351,2021/02/15 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,193
352,2021/02/16 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,194
353,2021/02/17 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,195
354,2021/02/18 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,196
355,2021/02/19 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,197
356,2021/02/20 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,198
357,2021/02/21 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,199
358,2021/02/22 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,200
359,2021/02/23 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,201
360,2021/02/24 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,202
361,2021/02/25 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,203
362,2021/02/26 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,204
363,2021/02/27 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,205
364,2021/02/28 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,206
365,2021/03/01 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,207
366,2021/03/02 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,208
213,2020/09/30 00:00:00+00,287008,214947,10740,61321,4284,4510,139,-365,74.8923375,3.742055971,21.36560653,3321898,1993694,1706686,45496,30940,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,209
55,2020/04/25 00:00:00+00,8607,1042,720,6845,396,40,31,325,12.106425,8.365284071,79.52829093,67828,52541,43934,3774,1978,19084,206911,,,,,,,,,,,,,1970/01/01 00:00:00+00,210
214,2020/10/01 00:00:00+00,291182,218487,10856,61839,4174,3540,116,518,75.0345145,3.728252433,21.23723307,3365490,2023990,1732808,43592,30296,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,211
56,2020/04/26 00:00:00+00,8882,1107,743,7032,275,65,23,187,12.46340914,8.365233056,79.1713578,72099,56974,48092,4271,4433,19648,209040,,,,,,,,,,,,,1970/01/01 00:00:00+00,212
215,2020/10/02 00:00:00+00,295499,221340,10972,63187,4317,2853,116,1348,74.90380678,3.71304133,21.38315189,3407911,2050821,1755322,42421,26831,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,213
57,2020/04/27 00:00:00+00,9096,1151,765,7180,214,44,22,148,12.65391381,8.410290237,78.93579595,75157,59409,50313,3058,2435,19987,210199,,,,,,,,,,,,,1970/01/01 00:00:00+00,214
216,2020/10/03 00:00:00+00,299506,225052,11055,63399,4007,3712,83,212,75.14106562,3.691077975,21.1678564,3451398,2074943,1775437,43487,24122,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,215
58,2020/04/28 00:00:00+00,9511,1254,773,7484,415,103,8,304,13.18473347,8.127431395,78.68783514,79618,62544,53033,4461,3135,20428,213644,,,,,,,,,,,,,1970/01/01 00:00:00+00,216
217,2020/10/04 00:00:00+00,303498,228453,11151,63894,3992,3401,96,495,75.27331317,3.674159303,21.05252753,3488141,2096584,1793086,36743,21641,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,217
59,2020/04/29 00:00:00+00,9771,1391,784,7596,260,137,11,112,14.2360045,8.023743731,77.74025177,86985,67784,58013,7367,524,21653,221750,,,,,,,,,,,,,1970/01/01 00:00:00+00,218
218,2020/10/05 00:00:00+00,307120,232593,11253,63274,3622,4140,102,-620,75.73358948,3.664040115,20.60237041,3515165,2119355,1812235,27024,22771,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,219
60,2020/04/30 00:00:00+00,10118,1522,792,7804,347,131,8,208,15.04249852,7.82763392,77.12986756,94599,72531,60233,7614,4567,21827,230411,,,,,,,,,,,,,1970/01/01 00:00:00+00,220
219,2020/10/06 00:00:00+00,311176,236437,11374,63365,4056,3844,121,91,75.98175952,3.655166208,20.36307427,3551507,2145508,1834332,36342,26153,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,221
61,2020/05/01 00:00:00+00,10551,1591,800,8160,433,69,8,356,15.07913942,7.582219695,77.33864089,102305,76538,65987,7706,4187,22123,233120,,,,,,,,,,,,,1970/01/01 00:00:00+00,222
220,2020/10/07 00:00:00+00,315714,240291,11472,63951,4538,3854,98,586,76.11034037,3.633668447,20.25599118,3595719,2177675,1861961,44212,32167,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,223
62,2020/05/02 00:00:00+00,10843,1665,831,8347,292,74,31,187,15.35552891,7.663930647,76.98054044,107943,79868,69025,5638,333,22545,235035,,,,,,,,,,,,,1970/01/01 00:00:00+00,224
221,2020/10/08 00:00:00+00,320564,244060,11580,64924,4850,3769,108,973,76.13456283,3.612383175,20.25305399,3639108,2210576,1890012,43389,32901,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,225
63,2020/05/03 00:00:00+00,11192,1876,845,8471,349,211,14,124,16.76197284,7.55003574,75.68799142,112965,83012,71820,5022,3144,23130,236369,,,,,,,,,,,,,1970/01/01 00:00:00+00,226
222,2020/10/09 00:00:00+00,324658,247667,11677,65314,4094,3607,97,390,76.28550659,3.59670792,20.11778549,3683808,2249694,1925036,44700,39118,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,227
64,2020/05/04 00:00:00+00,11587,1954,864,8769,395,78,19,298,16.86372659,7.456632433,75.67964098,116861,86061,74474,3896,3049,24020,238178,,,,,,,,,,,,,1970/01/01 00:00:00+00,228
223,2020/10/10 00:00:00+00,328952,251481,11765,65706,4294,3814,88,392,76.4491476,3.576509643,19.97434276,3726476,2283369,1954417,42668,33675,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,229
65,2020/05/05 00:00:00+00,12071,2197,872,9002,484,243,8,233,18.20064618,7.22392511,74.57542871,121547,88924,76853,4686,2863,26408,239226,,,,,,,,,,,,,1970/01/01 00:00:00+00,230
224,2020/10/11 00:00:00+00,333449,255027,11844,66578,4497,3546,79,872,76.4815609,3.551967467,19.96647163,3762808,2305532,1972083,36332,22163,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,231
66,2020/05/06 00:00:00+00,12438,2317,895,9226,367,120,23,224,18.62839685,7.195690626,74.17591253,128383,92976,80538,6836,4052,26932,240726,,,,,,,,,,,,,1970/01/01 00:00:00+00,232
225,2020/10/12 00:00:00+00,336716,258519,11935,66262,3267,3492,91,-316,76.77657135,3.544530108,19.67889854,3802093,2338550,2001834,39285,33018,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,233
67,2020/05/07 00:00:00+00,12776,2381,930,9465,338,64,35,239,18.63650595,7.279273638,74.08422041,134151,96717,83941,5768,3741,28508,243455,,,,,,,,,,,,,1970/01/01 00:00:00+00,234
226,2020/10/13 00:00:00+00,340622,263296,12027,65299,3906,4777,92,-963,77.29858905,3.530893483,19.17051747,3852511,2378562,2037940,50418,40012,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,235
68,2020/05/08 00:00:00+00,13112,2494,943,9675,336,113,13,210,19.02074436,7.191885296,73.78737035,143781,103361,90249,9301,6644,29087,244480,,,,,,,,,,,,,1970/01/01 00:00:00+00,236
227,2020/10/14 00:00:00+00,344749,267851,12156,64742,4127,4555,129,-557,77.69449658,3.526043585,18.77945984,3892904,2415606,2070857,40393,37044,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,237
69,2020/05/09 00:00:00+00,13645,2607,959,10079,533,113,16,404,19.1058996,7.028215464,73.86588494,150887,108699,95054,7435,5338,29690,246847,,,,,,,,,,,,,1970/01/01 00:00:00+00,238
228,2020/10/15 00:00:00+00,349160,273661,12268,63231,4411,5810,112,-1511,78.37696185,3.513575438,18.10946271,3935112,2449725,2100565,42208,34119,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,239
70,2020/05/10 00:00:00+00,14032,2698,973,10361,387,91,14,282,19.22748005,6.934150513,73.83836944,158273,113452,99420,7386,4753,30317,248690,,,,,,,,,,,,,1970/01/01 00:00:00+00,240
229,2020/10/16 00:00:00+00,353461,277544,12347,63570,4301,3883,79,339,78.52181712,3.493171807,17.98501108,3976653,2479922,2126461,41541,30197,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,241
71,2020/05/11 00:00:00+00,14265,2881,991,10393,233,183,18,32,20.19628461,6.947073256,72.85664213,161351,116358,102093,3078,2906,31994,249105,,,,,,,,,,,,,1970/01/01 00:00:00+00,242
230,2020/10/17 00:00:00+00,357762,281592,12431,63739,4301,4048,84,169,78.70930954,3.474656336,17.81603412,4019958,2505898,2148136,43305,25976,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,243
72,2020/05/12 00:00:00+00,14749,3063,1007,10679,484,182,16,286,20.76750966,6.827581531,72.40490881,165128,119728,104979,3777,337,32147,251861,,,,,,,,,,,,,1970/01/01 00:00:00+00,244
73,2020/05/13 00:00:00+00,15438,3287,1028,11123,689,224,21,444,21.29161809,6.658893639,72.04948828,169195,123572,108134,4067,3844,33042,256299,,,,,,,,,,,,,1970/01/01 00:00:00+00,245
74,2020/05/14 00:00:00+00,16006,3518,1043,11445,568,231,15,322,21.97925778,6.516306385,71.50443584,173690,127813,111807,4495,4241,33672,258639,,,,,,,,,,,,,1970/01/01 00:00:00+00,246
75,2020/05/15 00:00:00+00,16496,3803,1076,11617,490,285,33,172,23.05407371,6.522793404,70.42313288,178602,132060,115564,4912,4247,34360,262919,,,,,,,,,,,,,1970/01/01 00:00:00+00,247
