Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_Pasien_Dalam_Perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawat,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_,Kasus_Sedang_Investigasi_Lapang,Jumlah_Spesimen_Diperiksa_Terki,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Suspek_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
30,2020/03/31 00:00:00+00,1528,81,136,1311,114,6,14,94,5.30104712,8.90052356,85.79842932,,6777,5249,,114,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,30
31,2020/04/01 00:00:00+00,1677,103,157,1417,149,22,21,106,6.141920095,9.361955874,84.49612403,,7193,5516,,416,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,31
32,2020/04/02 00:00:00+00,1790,112,170,1508,113,9,13,91,6.25698324,9.497206704,84.24581006,,7425,5635,,232,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,32
33,2020/04/03 00:00:00+00,1986,134,181,1671,196,22,11,163,6.747230614,9.113796576,84.13897281,,7986,5715,,561,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,33
34,2020/04/04 00:00:00+00,2092,150,191,1751,106,16,10,80,7.170172084,9.13001912,83.6998088,,9712,7620,,1726,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,34
35,2020/04/05 00:00:00+00,2273,164,198,1911,181,14,7,160,7.215134184,8.710954685,84.07391113,,11242,8969,,153,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,35
36,2020/04/06 00:00:00+00,2491,192,209,2090,218,28,11,179,7.707747892,8.390204737,83.90204737,,13186,10695,,1944,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,36
37,2020/04/07 00:00:00+00,2738,204,221,2313,247,12,12,223,7.450693937,8.071585099,84.47772096,,14353,11615,,1167,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,37
38,2020/04/08 00:00:00+00,2956,222,240,2494,218,18,19,181,7.51014885,8.119079838,84.37077131,,16511,13555,,2158,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,38
39,2020/04/09 00:00:00+00,3293,252,280,2761,337,30,40,267,7.652596417,8.502884907,83.84451868,,17679,14386,,1168,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,39
40,2020/04/10 00:00:00+00,3512,282,306,2924,219,30,26,163,8.029612756,8.712984055,83.25740319,,19452,15940,,1773,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,40
41,2020/04/11 00:00:00+00,3842,286,327,3229,330,4,21,305,7.444039563,8.511192087,84.04476835,,19964,16122,,512,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,41
107,2020/06/16 00:00:00+00,40400,15703,2231,22466,1106,580,33,493,38.86881188,5.522277228,55.60891089,540115,339309,298909,17052,10119,13510,29124,,,,,,,,,,,,,1970/01/01 00:00:00+00,42
42,2020/04/12 00:00:00+00,4241,359,373,3509,399,73,46,280,8.464984673,8.795095496,82.73991983,,27075,22834,,7111,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,43
43,2020/04/13 00:00:00+00,4557,380,399,3778,316,21,26,269,8.338819399,8.755760369,82.90542023,,27953,23396,,878,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,44
44,2020/04/14 00:00:00+00,4839,426,459,3954,282,46,60,176,8.803471792,9.485430874,81.71109733,,31628,26789,,3675,10482,139137,,,,,,,,,,,,,1970/01/01 00:00:00+00,45
45,2020/04/15 00:00:00+00,5136,446,469,4221,297,20,10,267,8.683800623,9.131619938,82.18457944,36431,33001,27865,,1373,11165,165549,,,,,,,,,,,,,1970/01/01 00:00:00+00,46
46,2020/04/16 00:00:00+00,5516,548,496,4472,380,102,27,251,9.934735315,8.992023205,81.07324148,39706,34975,29459,3275,1974,11873,169446,,,,,,,,,,,,,1970/01/01 00:00:00+00,47
47,2020/04/17 00:00:00+00,5923,607,520,4796,407,59,24,324,10.24818504,8.779334797,80.97248016,42108,37134,31211,2402,2159,12610,173732,,,,,,,,,,,,,1970/01/01 00:00:00+00,48
48,2020/04/18 00:00:00+00,6248,631,535,5082,325,24,15,286,10.09923175,8.562740077,81.33802817,45378,39422,33174,327,2288,12979,176344,,,,,,,,,,,,,1970/01/01 00:00:00+00,49
49,2020/04/19 00:00:00+00,6575,686,582,5307,327,55,47,225,10.43346008,8.851711027,80.7148289,47478,42219,35644,21,2797,15646,178883,,,,,,,,,,,,,1970/01/01 00:00:00+00,50
50,2020/04/20 00:00:00+00,6760,747,590,5423,185,61,8,116,11.05029586,8.727810651,80.22189349,49767,43749,36989,2289,153,16343,181770,,,,,,,,,,,,,1970/01/01 00:00:00+00,51
51,2020/04/21 00:00:00+00,7135,842,616,5677,375,95,26,254,11.80098108,8.633496847,79.56552207,50370,46173,39038,603,2424,16763,186330,,,,,,,,,,,,,1970/01/01 00:00:00+00,52
52,2020/04/22 00:00:00+00,7418,913,635,5870,283,71,19,193,12.3078997,8.56025883,79.13184147,55732,47361,39943,5362,1188,17754,193571,,,,,,,,,,,,,1970/01/01 00:00:00+00,53
53,2020/04/23 00:00:00+00,7775,960,647,6168,357,47,12,298,12.34726688,8.321543408,79.33118971,59935,48647,40872,4203,1286,18283,195948,,,,,,,,,,,,,1970/01/01 00:00:00+00,54
108,2020/06/17 00:00:00+00,41431,16243,2276,22912,1031,540,45,446,39.20494316,5.493471072,55.30158577,559872,348278,306847,19757,8969,13279,42714,,,,,,,,,,,,,1970/01/01 00:00:00+00,55
109,2020/06/18 00:00:00+00,42762,16798,2339,23625,1331,555,63,713,39.28254057,5.469809644,55.24764978,580522,358659,315897,20650,10381,17923,36698,,,,,,,,,,,,,1970/01/01 00:00:00+00,56
110,2020/06/19 00:00:00+00,43803,17349,2373,24081,1041,551,34,456,39.60687624,5.417437162,54.9756866,601239,366581,322778,20717,7922,13211,36464,,,,,,,,,,,,,1970/01/01 00:00:00+00,57
111,2020/06/20 00:00:00+00,45029,17883,2429,24717,1226,534,56,636,39.71440627,5.39430145,54.89129228,621156,376518,331489,19917,7877,13150,37336,,,,,,,,,,,,,1970/01/01 00:00:00+00,58
112,2020/06/21 00:00:00+00,45891,18404,2465,25022,862,521,36,305,40.10372404,5.371423591,54.52485237,639385,383105,337214,18229,8647,13225,56436,,,,,,,,,,,,,1970/01/01 00:00:00+00,59
113,2020/06/22 00:00:00+00,46845,18735,2500,25610,954,331,35,588,39.9935959,5.336748853,54.66965525,650311,393117,346272,10926,10012,12999,43500,,,,,,,,,,,,,1970/01/01 00:00:00+00,60
